1.wav|제이피는 삼공때 제철소를 시작할 당시 총리도 하고해 자연스럽게 자주 만났을 뿐입니다.|제이피는 삼공때 제철소를 시작할 당시 총리도 하고해 자연스럽게 자주 만났을 뿐입니다.
12.wav|처음에는 국민들이 사당으로 하여금 대화정치를 훈련하라고 만들어 준 체제로 받아들였다.|처음에는 국민들이 사당으로 하여금 대화정치를 훈련하라고 만들어 준 체제로 받아들였다.
13.wav|나는 벌써 오래전부터 언제까지 이런식으로 가야하느냐를 생각하면서 색깔론을 펴온 사람이다.|나는 벌써 오래전부터 언제까지 이런식으로 가야하느냐를 생각하면서 색깔론을 펴온 사람이다.
14.wav|이제 과거 문제는 미완의 장으로 역사에 맡기고 구십년대에 할일을 올바로 인식 각자 자기위치에서 최선을 다해야 한다.|이제 과거 문제는 미완의 장으로 역사에 맡기고 구십년대에 할일을 올바로 인식 각자 자기위치에서 최선을 다해야 한다.
15.wav|구십년대는 정치체제 재편과 제이의 경제도약 복지화를 이룩해 통일의 굳건한 기반을 만들어내야 한다 통일이 구십년대 올 것 같지는 않지만 적어도 통일에 대비하고 예상되는 남북관계의 급격한 변화를 수용할 수 있는 정치적 채비를 갖춰야 한다.|구십년대는 정치체제 재편과 제이의 경제도약 복지화를 이룩해 통일의 굳건한 기반을 만들어내야 한다 통일이 구십년대 올 것 같지는 않지만 적어도 통일에 대비하고 예상되는 남북관계의 급격한 변화를 수용할 수 있는 정치적 채비를 갖춰야 한다.
16.wav|다소 극단적으로 표현한다면 앞으로 적어도 삼십년간 요지부동하게 우리나라를 이끌어 나갈 그런 정치세력을 만들어야 되지 않느냐는 게 정계개편의 시발이자 알맹이다.|다소 극단적으로 표현한다면 앞으로 적어도 삼십년간 요지부동하게 우리나라를 이끌어 나갈 그런 정치세력을 만들어야 되지 않느냐는 게 정계개편의 시발이자 알맹이다.
17.wav|미안한 얘기지만 프랑스와 독일 영국 스위스 등 우리보다 월등하게 선진적인 정치사회에서 배우고 채택할 것은 채택해야 한다.|미안한 얘기지만 프랑스와 독일 영국 스위스 등 우리보다 월등하게 선진적인 정치사회에서 배우고 채택할 것은 채택해야 한다.
18.wav|보혁이 단시간에 소망스런 형태로 갈라지리라고는 누구도 보지 않을 것이다.|보혁이 단시간에 소망스런 형태로 갈라지리라고는 누구도 보지 않을 것이다.
19.wav|명백한 것은 각 당이 투사하고 있는 실상과 허상이 있다면 이제 허상은 걷어들여야 한다는 것이다.|명백한 것은 각 당이 투사하고 있는 실상과 허상이 있다면 이제 허상은 걷어들여야 한다는 것이다.
20.wav|발전단계에 따라서는 독재에 가까운 강력한 대통령제가 필요할 때도 있었겠지만 기본적으로 정당정치는 내각제다 이제 국민의사를 소화해내면서 정치를 하고 여러 복합적인 사회요인들에 대응하려면 이 제도밖에 없다고 본다 통일에 대비해서도 그 같은 정치적 고도화가 필요하다고 본다.|발전단계에 따라서는 독재에 가까운 강력한 대통령제가 필요할 때도 있었겠지만 기본적으로 정당정치는 내각제다 이제 국민의사를 소화해내면서 정치를 하고 여러 복합적인 사회요인들에 대응하려면 이 제도밖에 없다고 본다 통일에 대비해서도 그 같은 정치적 고도화가 필요하다고 본다.
21.wav|명령 규칙심사권이 대법원에 있음은 현행 헌법에 분명히 규정돼 있습니다.|명령 규칙심사권이 대법원에 있음은 현행 헌법에 분명히 규정돼 있습니다.
22.wav|어떤 사람들은 공화당때 박정희대통령이 지역감정을 유발했다고 하지만 그런식으로 원인을 캐올라 가면 이조때까지 올라가야 한다.|어떤 사람들은 공화당때 박정희대통령이 지역감정을 유발했다고 하지만 그런식으로 원인을 캐올라 가면 이조때까지 올라가야 한다.
23.wav|두 김총재간의 정제개편 논의에서 지역주의 문제에 관한 얘기는 없었나.|두 김총재간의 정제개편 논의에서 지역주의 문제에 관한 얘기는 없었나.
24.wav|민주당과는 보안법 개폐 문제 대통령제냐 내각제냐 하는 당론상 여러 면에서 차이가 있다는 지적들이 많다.|민주당과는 보안법 개폐 문제 대통령제냐 내각제냐 하는 당론상 여러 면에서 차이가 있다는 지적들이 많다.
25.wav|남북관계등을 볼 때 혁신정당은 반드시 발전해야 합니다.|남북관계등을 볼 때 혁신정당은 반드시 발전해야 합니다.
26.wav|우리는 보수란 말의 이미지가 나빠져 있지요.|우리는 보수란 말의 이미지가 나빠져 있지요.
27.wav|그런 의견들도 큰 흐름 속에 수용될 것입니다.|그런 의견들도 큰 흐름 속에 수용될 것입니다.
28.wav|새해 정계개편 바람의 진원지는 민주당이다.|새해 정계개편 바람의 진원지는 민주당이다.
29.wav|우리사회가 많이 변하고 있습니다.|우리사회가 많이 변하고 있습니다.
30.wav|산업사회도 커지고 국민다수가 극우 극좌세력은 안되겠다고 생각하고 있습니다.|산업사회도 커지고 국민다수가 극우 극좌세력은 안되겠다고 생각하고 있습니다.
31.wav|평생 저는 독재 대 반독재 민주 대 반민주의 대결구도 속에서 싸워 온 사람입니다.|평생 저는 독재 대 반독재 민주 대 반민주의 대결구도 속에서 싸워 온 사람입니다.
32.wav|그러나 이제는 이런 단순대결구도에만 집착해서는 안됩니다.|그러나 이제는 이런 단순대결구도에만 집착해서는 안됩니다.
33.wav|합당이니 뭐니 얘기 안했습니다.|합당이니 뭐니 얘기 안했습니다.
34.wav|그 사람들도 나에게 안 될 줄은 알지만 한번 제안해 보라는 것인데.|그 사람들도 나에게 안 될 줄은 알지만 한번 제안해 보라는 것인데.
35.wav|그대로 지자제를 하면 골이 더 깊어져요.|그대로 지자제를 하면 골이 더 깊어져요.
36.wav|정전의원은 약삼십 분간의 회견을 마치고 출마가능성을 점검하려고 대구에 왔으며 당분간 더 머물겠다고 밝혔다.|정전의원은 약삼십 분간의 회견을 마치고 출마가능성을 점검하려고 대구에 왔으며 당분간 더 머물겠다고 밝혔다.
37.wav|앞으로 필요하다면 국가발전에 기여할 정당에 다시 들어갈 생각이 있으나 국회의원이 되지 못하면 들어갈 필요가 없다 또 나는 야당 체질이 아니다.|앞으로 필요하다면 국가발전에 기여할 정당에 다시 들어갈 생각이 있으나 국회의원이 되지 못하면 들어갈 필요가 없다 또 나는 야당 체질이 아니다.
38.wav|지난 일월 오일 의원직 사퇴와 함께 탈당하려 했으나 지구당원들이 흥분상태였기 때문에 늦췄다.|지난 일월 오일 의원직 사퇴와 함께 탈당하려 했으나 지구당원들이 흥분상태였기 때문에 늦췄다.
39.wav|구체적으로 언제 탈당을 결심했나.|구체적으로 언제 탈당을 결심했나.
40.wav|민자당에서 정씨를 당선시키기 위해 공천후보를 내지 않거나 약한 후보를 낸다는 소문이 있는데.|민자당에서 정씨를 당선시키기 위해 공천후보를 내지 않거나 약한 후보를 낸다는 소문이 있는데.
41.wav|나는 이미 당인이 아니기 때문에 관계 없으며 민주국가에서 통치권자라고 강압할 수 없는 것이 아닌가.|나는 이미 당인이 아니기 때문에 관계 없으며 민주국가에서 통치권자라고 강압할 수 없는 것이 아닌가.
42.wav|유권자와 대구시민들의 뜻을 끝까지 받들지 못해 죄송하게 생각해 왔으며 실추된 유권자들의 자존심과 명예를 회복하기 위해 내가 할 수 있는 길은 입후보뿐만이 아니겠는가.|유권자와 대구시민들의 뜻을 끝까지 받들지 못해 죄송하게 생각해 왔으며 실추된 유권자들의 자존심과 명예를 회복하기 위해 내가 할 수 있는 길은 입후보뿐만이 아니겠는가.
43.wav|내가 선거대책본부까지 설치했다는 소문이 있지만 사실이 아니다 선거가 얼마 남지 않아 나름대로 준비를 하고 있는 것은 사실이다.|내가 선거대책본부까지 설치했다는 소문이 있지만 사실이 아니다 선거가 얼마 남지 않아 나름대로 준비를 하고 있는 것은 사실이다.
44.wav|최근 미 북한간의 접촉을 두고 잘못된 추측이 나오고 있는 것 같습니다.|최근 미 북한간의 접촉을 두고 잘못된 추측이 나오고 있는 것 같습니다.
45.wav|이미 알려진대로 미국은 대북 접촉시 사전사후에 걸쳐 우리정부와 긴밀한 협의를 하고 있는 게 사실이에요 북한은 대미관계개선을 원하고 있겠지만 미국은 자국의 국익에 입각 자기페이스를 착실히 지켜 나가고 있다고 봅니다.|이미 알려진대로 미국은 대북 접촉시 사전사후에 걸쳐 우리정부와 긴밀한 협의를 하고 있는 게 사실이에요 북한은 대미관계개선을 원하고 있겠지만 미국은 자국의 국익에 입각 자기페이스를 착실히 지켜 나가고 있다고 봅니다.
46.wav|주한미군이 부분적이고도 단계적인 조정 및 양국군사협력구조재편 문제 방위비부담증액 문제 대미통상합의이행 문제 등이 현안이지요.|주한미군이 부분적이고도 단계적인 조정 및 양국군사협력구조재편 문제 방위비부담증액 문제 대미통상합의이행 문제 등이 현안이지요.
47.wav|그러나 우리측이 경제력신장의 범위안에서 응분의 방위비분담액을 늘리도록 노력한다는 입장이고 보면 이또한 크게 문제될게 없다고 봅니다.|그러나 우리측이 경제력신장의 범위안에서 응분의 방위비분담액을 늘리도록 노력한다는 입장이고 보면 이또한 크게 문제될게 없다고 봅니다.
48.wav|앞으로 필요하다면 국가발전에 기여할 정당에 다시 들어갈 생각이 있으나 국회의원이 되지 못하면 들어갈 필요가 없다.|앞으로 필요하다면 국가발전에 기여할 정당에 다시 들어갈 생각이 있으나 국회의원이 되지 못하면 들어갈 필요가 없다.
49.wav|남북한유학생교환계획을 제의한 고려대의 위임을 받아 십일 동안 평양을 방문했던 미국 엘에이지역고려대총동창회지부장 재미교포 김중태씨가 지난삼일밤 동경을 거쳐 한국에 왔다.|남북한유학생교환계획을 제의한 고려대의 위임을 받아 십일 동안 평양을 방문했던 미국 엘에이지역고려대총동창회지부장 재미교포 김중태씨가 지난삼일밤 동경을 거쳐 한국에 왔다.
50.wav|김씨는 북한측 관계자들이 학생교류계획에 대해 호의적이어서 실현가능성이 매우 높다고 말했다.|김씨는 북한측 관계자들이 학생교류계획에 대해 호의적이어서 실현가능성이 매우 높다고 말했다.
51.wav|지난해 십이월 이십삼일 엘에이를 출발 일본 중국을 거쳐 이십사일 평양에 도착해 평양 개성 등지에서 십일간 머물렀다.|지난해 십이월 이십삼일 엘에이를 출발 일본 중국을 거쳐 이십사일 평양에 도착해 평양 개성 등지에서 십일간 머물렀다.
52.wav|교류대상학교인 김일성종합대학 김책공과대학 평양의대 등 세 개대학의 책임자들과 북한의 문교당국자 북한대학생들을 만나 얘기를 나눴다.|교류대상학교인 김일성종합대학 김책공과대학 평양의대 등 세 개대학의 책임자들과 북한의 문교당국자 북한대학생들을 만나 얘기를 나눴다.
53.wav|남북의 분단구조를 극복키위해 학문적교류가 필요하다는 점에는 그들도 공감했다 그러나 유학생교환 문제는 좀더 논의를 거친다음 구체적으로 협의하자는 의견을 보였다.|남북의 분단구조를 극복키위해 학문적교류가 필요하다는 점에는 그들도 공감했다 그러나 유학생교환 문제는 좀더 논의를 거친다음 구체적으로 협의하자는 의견을 보였다.
54.wav|당장 저쪽에서 적극적으로 나오리라고 기대하기는 어렵지만 이번방북을 계기로 우리가 노력하면 이번 계획의 성사가능성이 매우 높을 것으로 확신했다.|당장 저쪽에서 적극적으로 나오리라고 기대하기는 어렵지만 이번방북을 계기로 우리가 노력하면 이번 계획의 성사가능성이 매우 높을 것으로 확신했다.
55.wav|남한의 학생들과 함께 공부해 보고 싶지만 미군이 주둔하고 있는 현상황에서 자유로운 학문탐구가 가능하겠느냐는 의문을 제기하면서도 많은 학생들은 유학생교환이 실현되길 바란다고 했다.|남한의 학생들과 함께 공부해 보고 싶지만 미군이 주둔하고 있는 현상황에서 자유로운 학문탐구가 가능하겠느냐는 의문을 제기하면서도 많은 학생들은 유학생교환이 실현되길 바란다고 했다.
56.wav|황 교수는 따르면 백 사십여 명에 달하는 출제위원들이 처음 보름 동안 문제를 출제할 때는 호텔에 갇혀 생활하는 게 그런데로 견딜만 했으나 그 뒤 십여일 동안 아무 일도 하지 않으면서 시간을 때우느라 무척 애를 먹었다며 홀가분한 표정이었다 이날 출제위원들은 자신이 맡은 과목의 고사가 시작되는 것과 동시에 그 동안 머물러 있었던 서울 캐피탈호텔에서 해방됐다.|황 교수는 따르면 백 사십여 명에 달하는 출제위원들이 처음 보름 동안 문제를 출제할 때는 호텔에 갇혀 생활하는 게 그런데로 견딜만 했으나 그 뒤 십여일 동안 아무 일도 하지 않으면서 시간을 때우느라 무척 애를 먹었다며 홀가분한 표정이었다 이날 출제위원들은 자신이 맡은 과목의 고사가 시작되는 것과 동시에 그 동안 머물러 있었던 서울 캐피탈호텔에서 해방됐다.
57.wav|황 교수는 단편적 지식의 측정보다는 이해력과 응용력 사고력을 재는 문제에 치중했다면서 제이외국어와 실업 사회 과학 등 선택과목들은 난이도의 균형을 맞추도록 출제위원들이 노력했다고 덧붙였다.|황 교수는 단편적 지식의 측정보다는 이해력과 응용력 사고력을 재는 문제에 치중했다면서 제이외국어와 실업 사회 과학 등 선택과목들은 난이도의 균형을 맞추도록 출제위원들이 노력했다고 덧붙였다.
58.wav|주관식 문제의 경우 서술적 단답형의 문제가 차지하는 비율을 작년의 사십오퍼센트에서 오십오퍼센트로 늘린 대신 단구적 단답형의 비중을 줄여 주관식 출제의 의도를 살리도록 했으며 서술적 단답형의 비율을 계속 늘려가야 한다는 생각이라고 황 교수는 말했다.|주관식 문제의 경우 서술적 단답형의 문제가 차지하는 비율을 작년의 사십오퍼센트에서 오십오퍼센트로 늘린 대신 단구적 단답형의 비중을 줄여 주관식 출제의 의도를 살리도록 했으며 서술적 단답형의 비율을 계속 늘려가야 한다는 생각이라고 황 교수는 말했다.
59.wav|나는 역사의 큰 흐름을 대세를 보고가는 것이니까.|나는 역사의 큰 흐름을 대세를 보고가는 것이니까.
60.wav|총재구상이 구체화되면 못따라가겠다는 사람도 적지 않은 것 같은데요.|총재구상이 구체화되면 못따라가겠다는 사람도 적지 않은 것 같은데요.
61.wav|연정이란 것은 언제 깨질 지 모르고 위험이 많이 따르는 것입니다.|연정이란 것은 언제 깨질 지 모르고 위험이 많이 따르는 것입니다.
62.wav|대전 갈전동 나루터에서 검거된 김군은 즉시 대전 동부경찰서로 연행돼 탈옥모의과정과 도주경로 등에 대한 조사를 받았다.|대전 갈전동 나루터에서 검거된 김군은 즉시 대전 동부경찰서로 연행돼 탈옥모의과정과 도주경로 등에 대한 조사를 받았다.
63.wav|박과 신은 약 사 개월 전부터 탈주를 모의 준비해 온 것으로 알고 있으나 나는 탈옥 전날인 이십육일에야 계획을 알았다.|박과 신은 약 사 개월 전부터 탈주를 모의 준비해 온 것으로 알고 있으나 나는 탈옥 전날인 이십육일에야 계획을 알았다.
64.wav|내년 일월에 흉악범을 수용하는 청송교도소로 이감한다는 얘기를 교도관한테서 듣고 탈옥할 생각을 한 것 같다.|내년 일월에 흉악범을 수용하는 청송교도소로 이감한다는 얘기를 교도관한테서 듣고 탈옥할 생각을 한 것 같다.
65.wav|창살을 자르는 데 쓰인 쇠톱과 사다리를 만드는 데 사용한 못은 어디서 구했나.|창살을 자르는 데 쓰인 쇠톱과 사다리를 만드는 데 사용한 못은 어디서 구했나.
66.wav|박이 교도소내 목공소에서 쇠톱과 못을 구해 왔다 내가 알기로는 외부나 교도관들이 전해 준 것은 아니다.|박이 교도소내 목공소에서 쇠톱과 못을 구해 왔다 내가 알기로는 외부나 교도관들이 전해 준 것은 아니다.
67.wav|교도소를 나와 박 신과 내가 반대방향으로 떨어져 달아나다 전주국도 주변에서 합류한 뒤 전주대학 뒷산에 숨어 있다가 트럭을 훔쳐타고 삼례로 가 시장에서 옷과 식칼을 세 개를 산 뒤 여인숙에서 옷을 갈아입고 나왔다 삼례에서 다시 택시를 타고 저녁 여덟 시쯤 이리역 앞에 도착했다.|교도소를 나와 박 신과 내가 반대방향으로 떨어져 달아나다 전주국도 주변에서 합류한 뒤 전주대학 뒷산에 숨어 있다가 트럭을 훔쳐타고 삼례로 가 시장에서 옷과 식칼을 세 개를 산 뒤 여인숙에서 옷을 갈아입고 나왔다 삼례에서 다시 택시를 타고 저녁 여덟 시쯤 이리역 앞에 도착했다.
68.wav|그곳에서 역 앞 카바레에 들러 술을 마시고 나온 뒤 신문을 사 보고 우리 탈주사실이 크게 보도된 것을 알았다 그 후 이리역에서 택시를 잡아타고 운전사를 위협 현금과 주민등록증을 빼앗고 대전으로 향했다.|그곳에서 역 앞 카바레에 들러 술을 마시고 나온 뒤 신문을 사 보고 우리 탈주사실이 크게 보도된 것을 알았다 그 후 이리역에서 택시를 잡아타고 운전사를 위협 현금과 주민등록증을 빼앗고 대전으로 향했다.
69.wav|그 후 이리역에서 택시를 잡아타고 운전사를 위협 현금과 주민등록증을 빼앗고 대전으로 향했다.|그 후 이리역에서 택시를 잡아타고 운전사를 위협 현금과 주민등록증을 빼앗고 대전으로 향했다.
70.wav|박이 같이 가지 않으면 죽인다고 협박해 할 수 없이 따라 나섰다.|박이 같이 가지 않으면 죽인다고 협박해 할 수 없이 따라 나섰다.
71.wav|방한중인 존 머케인 미상원의원은 오일 한국은 경제발전에 상응한 안보유지비를 내야 하며 한국의 안보가 보장되지 않는 한 주한미군의 철수는 없을 것이라고 밝혔다.|방한중인 존 머케인 미상원의원은 오일 한국은 경제발전에 상응한 안보유지비를 내야 하며 한국의 안보가 보장되지 않는 한 주한미군의 철수는 없을 것이라고 밝혔다.
72.wav|지자제는 상반기내에 하기로 분명히 약속했다.|지자제는 상반기내에 하기로 분명히 약속했다.
73.wav|어느 당인가는 우리당이 연기를 획책했다고 한 모양인데 그런 작태부터 버려야 한다.|어느 당인가는 우리당이 연기를 획책했다고 한 모양인데 그런 작태부터 버려야 한다.
74.wav|연합공천은 우리가 그런 필요가 있을 때 하자고 길을 열어놨으니 필요할 때 할 것이다.|연합공천은 우리가 그런 필요가 있을 때 하자고 길을 열어놨으니 필요할 때 할 것이다.
75.wav|우리 앞에 어떤 가능성도 배제하지 말자.|우리 앞에 어떤 가능성도 배제하지 말자.
76.wav|나는 이 문제를 푸는데는 상당한 시간이 걸릴거라고 본다.|나는 이 문제를 푸는데는 상당한 시간이 걸릴거라고 본다.
77.wav|만약 삼년후 대선때 이대로 임한다면 골이 더 깊게 패일 것이다.|만약 삼년후 대선때 이대로 임한다면 골이 더 깊게 패일 것이다.
78.wav|그 조짐은 이미 영을보선에서 드러났다.|그 조짐은 이미 영을보선에서 드러났다.
79.wav|지역적인 것을 전연 도외시할 수는 없다.|지역적인 것을 전연 도외시할 수는 없다.
80.wav|너무 깊은 얘기하면 지장이 생길 우려가 있다.|너무 깊은 얘기하면 지장이 생길 우려가 있다.
81.wav|여러쪽의 당내사정도 있고하니 대전제를 놓고 하나씩 둘씩 접근해 가는 첫 시도로 봐주면 될 것이다.|여러쪽의 당내사정도 있고하니 대전제를 놓고 하나씩 둘씩 접근해 가는 첫 시도로 봐주면 될 것이다.
82.wav|밖에서 보는 정도의 심도 있는 얘기까지는 아직 안가 있다.|밖에서 보는 정도의 심도 있는 얘기까지는 아직 안가 있다.
83.wav|건전한 보수세력이 대동단합하는 방향으로 개편하자는 데 생각을 같이했다.|건전한 보수세력이 대동단합하는 방향으로 개편하자는 데 생각을 같이했다.
84.wav|그러나 거기까지 가는 방법을 어떻게 하느냐는 데까지는 얘기가 진행되지 않았다.|그러나 거기까지 가는 방법을 어떻게 하느냐는 데까지는 얘기가 진행되지 않았다.
85.wav|인위적으로 몸집을 비슷하게 할 수는 없겠지요.|인위적으로 몸집을 비슷하게 할 수는 없겠지요.
86.wav|회사에 처음 입사해 교육을 받을 때와 같은 기분입니다.|회사에 처음 입사해 교육을 받을 때와 같은 기분입니다.
87.wav|새로 익히고 있는 증권업무도 전혀 낯선 일입니다.|새로 익히고 있는 증권업무도 전혀 낯선 일입니다.
88.wav|오전 여덟 시에 출근해 동료직원들과 증권시황에 대한 정보교환으로 하루일을 시작한다는 배씨는 증권사의 영업업무에는 근면과 성실만이 비책인 것 같다면서 지금 보수는 옛직장의 절반밖에 안되지만 노련한 관리경력을 활용하겠다는 회사의 기대에 어긋나지 않게 열심히 뛰어 보겠다고 의욕을 보였다.|오전 여덟 시에 출근해 동료직원들과 증권시황에 대한 정보교환으로 하루일을 시작한다는 배씨는 증권사의 영업업무에는 근면과 성실만이 비책인 것 같다면서 지금 보수는 옛직장의 절반밖에 안되지만 노련한 관리경력을 활용하겠다는 회사의 기대에 어긋나지 않게 열심히 뛰어 보겠다고 의욕을 보였다.
89.wav|배씨는 처음엔 퇴직자를 대상으로 한 채용공고를 신문에서 보고 망설였지만 그대로 눌러앉았다가는 폐인이 될 것 같아 용기를 냈다며 그 때 입사원서 내기를 백번 잘했다고 말했다.|배씨는 처음엔 퇴직자를 대상으로 한 채용공고를 신문에서 보고 망설였지만 그대로 눌러앉았다가는 폐인이 될 것 같아 용기를 냈다며 그 때 입사원서 내기를 백번 잘했다고 말했다.
90.wav|퇴직후 하는 일 없이 집에 앉아 있자니 울적한 기분을 떨칠 수 없더군요.|퇴직후 하는 일 없이 집에 앉아 있자니 울적한 기분을 떨칠 수 없더군요.
91.wav|쌍용투자증권이 청년 퇴직자를 대상으로 실시한 신입사원 공채에서 다른 열일곱 명과 함께 채용돼 지난해 십이월 이십구일부터 서울 영동지점 상임고문으로 일하며 새 인생을 시작한 배경주씨는 회사측에서 고문이란 과분한 직책을 맡겼지만 수습사원으로 생각하고 있다고 말했다.|쌍용투자증권이 청년 퇴직자를 대상으로 실시한 신입사원 공채에서 다른 열일곱 명과 함께 채용돼 지난해 십이월 이십구일부터 서울 영동지점 상임고문으로 일하며 새 인생을 시작한 배경주씨는 회사측에서 고문이란 과분한 직책을 맡겼지만 수습사원으로 생각하고 있다고 말했다.
92.wav|노동자들도 이제 정치의 장에 뛰어들어 스스로 권익을 찾아야 할 때가 왔다고 봅니다.|노동자들도 이제 정치의 장에 뛰어들어 스스로 권익을 찾아야 할 때가 왔다고 봅니다.
93.wav|기가 나왔으나 내가 앞으로 얼마든지 논의할 수 있으므로 깊이 얘기하지 말자고 해 중요하게 논의되지는 않았다.|기가 나왔으나 내가 앞으로 얼마든지 논의할 수 있으므로 깊이 얘기하지 말자고 해 중요하게 논의되지는 않았다.
94.wav|혁신정당의 출현을 돕기로 했다 국가경영에 대해서는 앞으로 삼 인이 공동책임지기로 했고 이십대에서 삼십대 신진인사의 육성에 힘쓰기로 했다.|혁신정당의 출현을 돕기로 했다 국가경영에 대해서는 앞으로 삼 인이 공동책임지기로 했고 이십대에서 삼십대 신진인사의 육성에 힘쓰기로 했다.
95.wav|많은 부분에서 과거 여당과는 다른 많은 새로운 일을 하게 될 것이다.|많은 부분에서 과거 여당과는 다른 많은 새로운 일을 하게 될 것이다.
96.wav|특히 소외계층에 특별한 관심을 갖고 최대한 노력키로 했다.|특히 소외계층에 특별한 관심을 갖고 최대한 노력키로 했다.
97.wav|모든 것을 공개할 수 없으나 앞으로 국민화합과 화해조치들을 강구해 나갈 것이다.|모든 것을 공개할 수 없으나 앞으로 국민화합과 화해조치들을 강구해 나갈 것이다.
98.wav|민주당에 불이익 되는 일은 없을 것이다 한당이 되는 것이니까 모든 것을 초월해 국가이익이 어디에 있느냐는 차원에서 처리해 나갈 것이다.|민주당에 불이익 되는 일은 없을 것이다 한당이 되는 것이니까 모든 것을 초월해 국가이익이 어디에 있느냐는 차원에서 처리해 나갈 것이다.
99.wav|국가를 공동경영한다고 했는데 초당 내각이 구성되나.|국가를 공동경영한다고 했는데 초당 내각이 구성되나.
100.wav|유신과 오공치하에서 국민들이 많은 고난을 당했지만 나도 엄청난 고통을 받았다.|유신과 오공치하에서 국민들이 많은 고난을 당했지만 나도 엄청난 고통을 받았다.
101.wav|공화당의 의원 당직자들은 김총재가 회담을 마치고 돌아 왔을 때와 기자들과의 질의응답이 끝났을 때 큰 박수로 제이피의 결단을 지지했다.|공화당의 의원 당직자들은 김총재가 회담을 마치고 돌아 왔을 때와 기자들과의 질의응답이 끝났을 때 큰 박수로 제이피의 결단을 지지했다.
102.wav|크든 작든 일을 하고 난 느낌은 항상 어깨가 무겁다는 것이다 야에 있든 여로 통합하든 정치인의 어깨는 가벼워지지 않는 것이다.|크든 작든 일을 하고 난 느낌은 항상 어깨가 무겁다는 것이다 야에 있든 여로 통합하든 정치인의 어깨는 가벼워지지 않는 것이다.
103.wav|나는 김영삼총재가 한 시대의 새 장을 여는 데 주역이 되려 결연히 합당에 뜻을 같이한 것은 아주 대단한 결단이라고 평가한다.|나는 김영삼총재가 한 시대의 새 장을 여는 데 주역이 되려 결연히 합당에 뜻을 같이한 것은 아주 대단한 결단이라고 평가한다.
